workload_scope,workload_name,policy,variant_id,trace_length,total_t,peak_demand,C,B,p_acc,trial_index,T_static,T_exe,stall_cycles,stall_ratio,max_cycle_hit,mean_service
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,30,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,31,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,32,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,33,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,34,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,35,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,36,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,37,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,38,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,39,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,40,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,41,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,42,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,43,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,44,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,45,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,46,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,47,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,48,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,49,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,50,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,51,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,52,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,53,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,54,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,55,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,56,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,57,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,58,8,31,23,0.7419354838709677,0,1.0
